bootstrap_id	Method	Metric	Value
20	Complete Hi-C clique	F1	0.23157101787937953
21	SGMCI	AUROC	0.8421874317505993
21	SGMCI	AUPRC	0.8383492527298282
21	SGMCI	Precision	0.6285481203343615
21	SGMCI	Recall	0.9795538062313868
21	SGMCI	F1	0.7657433816872358
21	Complete Hi-C clique	AUROC	0.5646871438166574
21	Complete Hi-C clique	AUPRC	0.5877799069194167
21	Complete Hi-C clique	Precision	0.9860222077073808
21	Complete Hi-C clique	Recall	0.13145474494505302
21	Complete Hi-C clique	F1	0.23198205120324555
22	SGMCI	AUROC	0.8428160605886597
22	SGMCI	AUPRC	0.8393450539712742
22	SGMCI	Precision	0.6295133877121726
22	SGMCI	Recall	0.9798411675577771
22	SGMCI	F1	0.7665472232819227
22	Complete Hi-C clique	AUROC	0.5643157448329243
22	Complete Hi-C clique	AUPRC	0.5874523441890483
22	Complete Hi-C clique	Precision	0.986326584275572
22	Complete Hi-C clique	Recall	0.13065361639875303
22	Complete Hi-C clique	F1	0.23074202229911572
23	SGMCI	AUROC	0.8414184972854115
23	SGMCI	AUPRC	0.8375509994489786
23	SGMCI	Precision	0.6289578094439787
23	SGMCI	Recall	0.9800936972082411
23	SGMCI	F1	0.7662123708252209
23	Complete Hi-C clique	AUROC	0.5649900113882703
23	Complete Hi-C clique	AUPRC	0.5881515192798299
23	Complete Hi-C clique	Precision	0.9874779886519273
23	Complete Hi-C clique	Recall	0.13184660129922152
23	Complete Hi-C clique	F1	0.23263246037903987
24	SGMCI	AUROC	0.8403819262484256
24	SGMCI	AUPRC	0.837082924024844
24	SGMCI	Precision	0.6295506925331722
24	SGMCI	Recall	0.9799979100994445
24	SGMCI	F1	0.7666228431686433
24	Complete Hi-C clique	AUROC	0.5642235061786787
24	Complete Hi-C clique	AUPRC	0.5873923967847565
24	Complete Hi-C clique	Precision	0.9867554032683183
24	Complete Hi-C clique	Recall	0.1304010867482889
24	Complete Hi-C clique	F1	0.23035980740535633
25	SGMCI	AUROC	0.8420720823426995
25	SGMCI	AUPRC	0.8383060892956884
25	SGMCI	Precision	0.6298819814574282
25	SGMCI	Recall	0.9797018408540727
25	SGMCI	F1	0.7667777573316432
25	Complete Hi-C clique	AUROC	0.5644767510904393
25	Complete Hi-C clique	AUPRC	0.5876705545465241
25	Complete Hi-C clique	Precision	0.9874449483993952
25	Complete Hi-C clique	Recall	0.13081035894042042
25	Complete Hi-C clique	F1	0.2310170625370047
26	SGMCI	AUROC	0.843416910215325
26	SGMCI	AUPRC	0.8403020180321003
26	SGMCI	Precision	0.6298591612318638
26	SGMCI	Recall	0.9805987565091694
26	SGMCI	F1	0.7670353922022722
26	Complete Hi-C clique	AUROC	0.5649804979643491
26	Complete Hi-C clique	AUPRC	0.5881698531285274
26	Complete Hi-C clique	Precision	0.9879211282319144
26	Complete Hi-C clique	Recall	0.1317595221094063
26	Complete Hi-C clique	F1	0.23250918143122767
27	SGMCI	AUROC	0.8425524001551705
27	SGMCI	AUPRC	0.8391230910006184
27	SGMCI	Precision	0.6291633590858778
27	SGMCI	Recall	0.980041449694352
27	SGMCI	F1	0.7663489037178264
27	Complete Hi-C clique	AUROC	0.5641384546771784
27	Complete Hi-C clique	AUPRC	0.5873276095387452
27	Complete Hi-C clique	Precision	0.9869949828360179
27	Complete Hi-C clique	Recall	0.13019209669273238
27	Complete Hi-C clique	F1	0.23004015817087992
28	SGMCI	AUROC	0.840636119353363
28	SGMCI	AUPRC	0.8366792120758474
28	SGMCI	Precision	0.6286734705283985
28	SGMCI	Recall	0.9794754349605531
28	SGMCI	F1	0.765812442979888
28	Complete Hi-C clique	AUROC	0.5641812790107894
28	Complete Hi-C clique	AUPRC	0.5873292057375236
28	Complete Hi-C clique	Precision	0.9863627379932802
28	Complete Hi-C clique	Recall	0.13037496299134432
28	Complete Hi-C clique	F1	0.23030834429343852
29	SGMCI	AUROC	0.8429600187976187
29	SGMCI	AUPRC	0.8389886301924481
29	SGMCI	Precision	0.628800831405679
29	SGMCI	Recall	0.9799804942614814
29	SGMCI	F1	0.7660612908934964
29	Complete Hi-C clique	AUROC	0.5644048517110546
29	Complete Hi-C clique	AUPRC	0.5875520447778773
29	Complete Hi-C clique	Precision	0.986600105097215
29	Complete Hi-C clique	Recall	0.13079294310245737
29	Complete Hi-C clique	F1	0.2309667696944534
30	SGMCI	AUROC	0.8415825377949546
30	SGMCI	AUPRC	0.8375946681729463
30	SGMCI	Precision	0.6286910865955055
30	SGMCI	Recall	0.9790922865253662
30	SGMCI	F1	0.7657083706470627
30	Complete Hi-C clique	AUROC	0.5649193341922607
30	Complete Hi-C clique	AUPRC	0.5880769564332518
30	Complete Hi-C clique	Precision	0.9873376411461393
30	Complete Hi-C clique	Recall	0.1317246904334802
30	Complete Hi-C clique	F1	0.23243878640739402
31	SGMCI	AUROC	0.8406828271266062
31	SGMCI	AUPRC	0.8361727173775263
31	SGMCI	Precision	0.6291795522797049
31	SGMCI	Recall	0.9797105487730542
31	SGMCI	F1	0.7662597265498629
31	Complete Hi-C clique	AUROC	0.5639682335786032
31	Complete Hi-C clique	AUPRC	0.5870969574909743
31	Complete Hi-C clique	Precision	0.9858057701194957
31	Complete Hi-C clique	Recall	0.13002664623208346
31	Complete Hi-C clique	F1	0.22974958649074895
32	SGMCI	AUROC	0.8422258356695039
32	SGMCI	AUPRC	0.8384501021397499
32	SGMCI	Precision	0.6297472778824805
32	SGMCI	Recall	0.9805726327522248
32	SGMCI	F1	0.7669444340390463
32	Complete Hi-C clique	AUROC	0.5636997186127689
32	Complete Hi-C clique	AUPRC	0.5869209397674275
32	Complete Hi-C clique	Precision	0.9870371601409293
32	Complete Hi-C clique	Recall	0.12929518103763563
32	Complete Hi-C clique	F1	0.22864006282674137
33	SGMCI	AUROC	0.8410073474159744
33	SGMCI	AUPRC	0.8380940037087001
33	SGMCI	Precision	0.6284554525100362
33	SGMCI	Recall	0.9801372368031488
33	SGMCI	F1	0.7658527789779511
33	Complete Hi-C clique	AUROC	0.5639827259796685
